date,weight
2018-03-25 08:26:08,155.1
2018-03-26 08:27:38,156
2018-03-27 08:35:06,155.2
2018-03-28 08:39:33,154.5
2018-03-29 07:42:21,154.8
2018-03-30 09:18:09,154.8
2018-03-31 08:25:57,155
2018-03-31 08:26:45,154.9
2018-04-01 09:19:47,157.1
2018-04-03 08:25:23,156.4
2018-04-04 08:20:34,156.3
2018-04-05 08:20:55,156.3
2018-04-06 08:46:18,154.9
2018-04-07 10:00:50,155
2018-04-08 08:48:13,154.9
2018-04-08 12:25:12,154.6
2018-04-09 08:23:31,156.5
2018-04-10 07:37:32,157.9
2018-04-11 09:23:28,157.4
2018-04-12 08:03:42,157.9
2018-04-13 08:17:37,155.9
2018-04-14 08:47:56,156.9
2018-04-15 08:13:42,156.2
2018-04-15 09:58:14,153.9
2018-04-16 07:42:43,154.2
2018-04-17 07:38:23,154.3
2018-04-18 07:21:18,155.1
2018-04-19 08:32:58,155.6
2018-04-19 08:33:45,155.5
2018-04-20 08:23:05,155.2
2018-04-21 07:28:13,154.7
2018-04-21 08:51:31,153.9
2018-04-22 08:33:01,154.1
2018-04-22 09:10:42,153.2
2018-04-23 07:47:04,155
2018-04-24 07:52:31,154.1
2018-04-25 08:17:21,155.4
2018-04-26 07:58:01,156.4
2018-04-27 08:23:37,157.6
2018-04-28 09:21:54,155
2018-04-29 08:02:12,154.7
2018-04-30 08:40:33,151.9
2018-05-01 08:31:33,152.6
2018-05-02 08:45:11,153.5
2018-05-03 08:59:59,154.5
2018-05-04 08:18:09,155
2018-05-04 08:29:08,154
2018-05-05 09:13:43,153.4
2018-05-06 08:22:14,154.2
2018-05-07 07:44:58,154.7
2018-05-08 08:12:30,154
2018-05-09 08:04:26,155
2018-05-10 09:01:20,155
2018-05-11 08:44:15,154.9
2018-05-12 08:41:23,153.6
2018-05-13 09:25:11,153.6
2018-05-14 09:04:22,153.2
2018-05-15 08:58:31,155.2
2018-05-16 08:28:53,154.9
2018-05-17 08:25:02,153
2018-05-18 08:16:40,154.8
2018-05-18 08:17:30,154.7
2018-05-19 07:17:47,153.9
2018-05-21 08:03:33,156.5
2018-05-22 09:00:03,155.9
2018-05-23 08:07:24,155
2018-05-24 09:16:07,156
2018-05-25 08:20:14,155.7
2018-05-26 07:29:32,154.9
2018-05-27 08:34:23,154.4
2018-05-28 08:48:55,154.5
2018-05-29 07:59:04,155
2018-05-30 08:28:21,154.6
2018-05-31 08:15:53,155
2018-06-01 07:53:30,156.3
2018-06-01 09:38:47,155.9
2018-06-02 08:24:55,154.9
2018-06-03 08:24:55,156.5
2018-06-04 08:31:15,155.8
2018-06-05 08:55:34,153.9
2018-06-06 07:48:36,156.3
2018-06-07 08:30:55,154.7
2018-06-08 08:13:46,155.6
2018-06-09 09:14:37,156
2018-06-10 09:33:01,153.5
2018-06-11 08:43:15,153.9
2018-06-12 08:56:48,154.4
2018-06-13 08:30:11,154.3
2018-06-14 08:32:04,156.1
2018-06-15 07:25:47,155.5
2018-06-16 06:07:16,154.8
2018-06-19 07:52:10,157.9
2018-06-20 08:13:54,155.7
2018-06-21 07:36:41,157.2
2018-06-22 07:34:40,159.2
2018-06-23 07:51:23,160.1
2018-06-23 09:43:38,157.8
2018-06-23 09:44:35,157.9
2018-06-24 08:42:52,156.5
2018-06-25 08:05:03,154.4
2018-06-26 08:18:07,156.7
2018-06-26 08:18:55,156.6
2018-06-27 08:22:31,156.8
2018-06-27 08:23:08,156.5
2018-06-28 08:34:31,154
2018-06-28 08:34:31,154
2018-06-29 08:53:01,157.7
2018-06-30 09:19:23,156.6
2018-07-01 08:34:06,157.5
2018-07-02 07:45:05,157
2018-07-03 07:54:45,155.7
2018-07-04 07:51:04,156.8
2018-07-05 08:27:25,156.8
2018-07-06 08:01:16,156
2018-07-07 08:20:25,157.3
2018-07-08 08:04:22,156.7
2018-07-09 07:52:46,156.5
2018-07-10 08:14:23,156.9
2018-07-11 07:23:24,156.4
2018-07-12 08:12:59,157.3
2018-07-13 08:21:34,157.6
2018-07-14 08:10:47,158.4
2018-07-14 10:41:46,158.4
2018-07-15 10:17:45,156.9
2018-07-16 08:03:58,156.3
2018-07-17 08:39:55,154.7
2018-07-18 08:18:14,157
2018-07-18 08:18:55,157
2018-07-19 07:52:50,157.5
2018-07-20 07:29:33,157.4
2018-07-24 08:28:36,158.8
2018-07-25 09:02:22,157.9
2018-07-26 07:26:08,157.4
2018-07-27 08:23:13,158.7
2018-07-28 08:35:25,158.2
2018-07-29 10:10:37,158
2018-07-30 08:42:19,158.1
2018-07-31 08:49:11,157.8
2018-08-01 08:20:11,157.1
2018-08-02 07:45:13,159.7
2018-08-03 08:52:42,159.8
2018-08-04 09:43:00,159.5
2018-08-05 08:50:14,157.6
2018-08-05 10:42:12,157.3
2018-08-06 07:57:59,155.3
2018-08-06 07:58:42,155.2
2018-08-07 07:33:17,154.2
2018-08-07 07:34:07,156.3
2018-08-08 08:41:49,156.9
2018-08-09 08:00:43,158.2
2018-08-09 08:01:35,158
2018-08-09 10:19:48,157.8
2018-08-10 08:38:42,156.4
2018-08-11 07:30:34,157.6
2018-08-12 09:46:52,156.1
2018-08-13 05:53:05,156.7
2018-08-14 07:41:32,155.9
2018-08-15 08:40:21,154.7
2018-08-16 07:58:34,155.9
2018-08-17 07:47:03,157.4
2018-08-18 10:16:47,156.6
2018-08-19 09:04:18,157
2018-08-20 08:59:33,156.4
2018-08-22 08:37:35,157.9
2018-08-23 07:19:20,158.4
2018-08-24 08:20:14,159
2018-08-25 08:53:02,158.1
2018-08-25 11:07:36,157.8
2018-08-26 10:22:37,158.8
2018-08-26 11:02:46,157.5
2018-08-26 11:03:38,157.4
2018-08-27 08:18:07,155.2
2018-08-28 08:19:30,156.8
2018-08-29 08:57:08,157.1
2018-08-30 07:57:20,158.1
2018-08-31 08:34:40,157
2018-09-01 08:22:39,156.4
2018-09-02 08:05:05,159.4
2018-09-03 11:25:38,158
2018-09-04 08:19:21,157
2018-09-04 08:20:18,159
2018-09-06 08:20:42,157.2
2018-09-07 08:57:40,157.7
2018-09-08 10:38:13,158.9
2018-09-08 12:19:09,157.3
2018-09-09 10:57:55,157.2
2018-09-10 08:40:47,157.2
2018-09-11 07:40:11,157.8
2018-09-12 08:36:58,156.2
2018-09-13 07:54:04,154.4
2018-09-14 08:29:03,157.8
2018-09-14 08:29:56,157.6
2018-09-15 09:14:11,157.3
2018-09-15 12:53:39,157.2
2018-09-16 08:31:26,155.5
2018-09-17 19:34:24,158.8
2018-09-18 09:08:50,157
2018-09-19 09:12:53,156.5
2018-09-20 08:27:45,155.6
2018-09-21 08:56:22,156.4
2018-09-22 08:47:07,156.5
2018-09-23 09:41:26,156.7
2018-09-24 08:47:34,156
2018-09-25 10:24:25,157.1
2018-09-25 11:42:55,156.9
2018-09-26 08:25:18,156.5
2018-09-27 08:57:02,157.2
2018-09-28 08:53:29,158.1
2018-09-29 08:08:39,158.2
2018-09-29 10:38:15,158
2018-09-30 09:49:00,155.8
2018-10-01 08:00:11,154.4
2018-10-02 07:49:23,158.3
2018-10-03 08:38:38,158
2018-10-04 08:47:34,157.3
2018-10-05 08:08:00,156
2018-10-06 09:24:49,156
2018-10-07 08:55:35,157
2018-10-08 09:00:46,159.5
2018-10-10 07:51:28,158.8
2018-10-10 07:52:18,158.7
2018-10-11 07:30:33,159
2018-10-12 07:55:27,159.1
2018-10-13 08:40:31,160.2
2018-10-13 12:48:46,157.7
2018-10-13 12:49:38,157.4
2018-10-14 09:10:03,159.6
2018-10-15 07:41:04,159.6
2018-10-16 07:14:11,159.9
2018-10-17 07:56:42,159.8
2018-10-18 08:06:53,159.1
2018-10-19 09:10:42,157.4
2018-10-20 10:56:23,159.3
2018-10-21 11:15:54,159.8
2018-10-22 07:37:48,156.8
2018-10-22 07:38:37,156.6
2018-10-23 08:09:02,157.2
2018-10-23 08:09:51,157.1
2018-10-24 08:25:21,157.7
2018-10-25 07:50:47,158
2018-10-26 08:10:27,160
2018-10-27 08:36:17,158
2018-10-28 07:53:44,159.8
2018-10-29 08:15:13,158.2
2018-10-30 07:34:28,158.8
2018-10-31 08:17:47,155.8
2018-10-31 08:18:39,155.6
2018-11-01 07:29:49,159.1
2018-11-02 08:06:09,160.6
2018-11-03 08:38:23,160.8
2018-11-03 08:39:21,160.5
2018-11-04 08:31:14,158.5
2018-11-05 07:12:18,158.3
2018-11-06 07:15:39,158.5
